dataset,session_id,role,model_split,feature_set,required_streams,status,reason,missing_streams,included_streams,n_features,aligned_len
noxi,042,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18572
noxi,043,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16000
noxi,043,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16000
noxi,044,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,31191
noxi,044,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,31191
noxi,045,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,42840
noxi,045,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,42840
noxi,046,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26546
noxi,046,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26546
noxi,047,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,32606
noxi,047,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,32606
noxi,048,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25813
noxi,048,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25813
noxi,049,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,32271
noxi,049,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,32271
noxi,050,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,35067
noxi,050,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,35067
noxi,052,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,14860
noxi,052,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,14860
noxi,055,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22465
noxi,055,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22465
noxi,056,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21796
noxi,056,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21796
noxi,057,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25126
noxi,057,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25127
noxi,064,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17229
noxi,064,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17229
noxi,066,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,28512
noxi,066,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,28512
noxi,067,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,47667
noxi,067,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,47667
noxi,068,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25265
noxi,068,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25265
noxi,069,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,47863
noxi,069,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,47863
noxi,070,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26094
noxi,070,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26094
noxi,072,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21749
noxi,072,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21749
noxi,073,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22531
noxi,073,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22532
noxi,077,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22598
noxi,077,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22598
noxij,086,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17524
noxij,086,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17524
noxij,101,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,29150
noxij,101,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,29150
noxij,102,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25900
noxij,102,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,25900
noxij,103,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22450
noxij,103,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22450
noxij,104,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22075
noxij,104,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22075
noxij,105,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20625
noxij,105,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20625
noxij,106,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21875
noxij,106,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21875
noxij,107,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16375
noxij,107,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16375
noxij,108,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16100
noxij,108,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16100
noxij,109,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23150
noxij,109,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23150
noxij,110,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22150
noxij,110,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,22150
noxij,111,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26450
noxij,111,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,26450
noxij,112,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17025
noxij,112,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17025
noxij,113,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16175
noxij,113,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16175
noxij,114,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23475
noxij,114,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,23475
noxij,115,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17000
noxij,115,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,17000
noxij,116,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16250
noxij,116,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16250
noxij,117,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,15625
noxij,117,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,15625
noxij,118,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19050
noxij,118,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19050
noxij,119,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16450
noxij,119,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,16450
noxij,120,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19500
noxij,120,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,19500
noxij,133,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,28575
noxij,133,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,28575
noxij,134,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,24975
noxij,134,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,24975
noxij,135,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21075
noxij,135,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21075
noxij,136,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,136,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,137,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,137,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,138,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,138,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,21600
noxij,139,expert,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18925
noxij,139,novice,val_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,18925
noxij,140,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20175
noxij,140,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,20175
noxij,141,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,30625
noxij,141,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,30625
noxij,142,expert,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,24125
noxij,142,novice,train_internal,audio_egemaps,audio.egemapsv2,ok,,,audio.egemapsv2,88,24125
