dataset,corpus,source_split,session_id,role,age,gender,language
noxi,noxi,val,076,novice,3,2,German
noxi,noxi,val,076,expert,4,2,German
noxi,noxi,test-base,002,novice,3,1,French
noxi,noxi,test-base,002,expert,3,1,French
noxi,noxi,test-base,006,novice,3,1,French
noxi,noxi,test-base,006,expert,4,1,French
noxi,noxi,test-base,012,novice,2,1,French
noxi,noxi,test-base,012,expert,4,1,French
noxi,noxi,test-base,018,novice,3,1,French
noxi,noxi,test-base,018,expert,4,1,French
noxi,noxi,test-base,024,novice,3,1,French
noxi,noxi,test-base,024,expert,4,1,French
noxi,noxi,test-base,025,novice,3,1,French
noxi,noxi,test-base,025,expert,4,1,French
noxi,noxi,test-base,032,novice,6,1,English
noxi,noxi,test-base,032,expert,3,2,English
noxi,noxi,test-base,033,novice,5,1,English
noxi,noxi,test-base,033,expert,3,2,English
noxi,noxi,test-base,034,novice,3,2,English
noxi,noxi,test-base,034,expert,3,2,English
noxi,noxi,test-base,035,novice,3,2,English
noxi,noxi,test-base,035,expert,3,2,English
noxi,noxi,test-base,036,novice,3,1,English
noxi,noxi,test-base,036,expert,3,2,English
noxi,noxi,test-base,037,novice,4,2,English
noxi,noxi,test-base,037,expert,3,2,English
noxi,noxi,test-base,078,novice,4,1,German
noxi,noxi,test-base,078,expert,2,2,German
noxi,noxi,test-base,080,novice,4,1,German
noxi,noxi,test-base,080,expert,4,1,German
noxi,noxi,test-base,083,novice,4,2,German
noxi,noxi,test-base,083,expert,4,1,German
noxi,noxi,test-base,084,novice,3,1,German
noxi,noxi,test-base,084,expert,3,1,German
noxi,noxi,test-additional,015,novice,5,1,Italian
noxi,noxi,test-additional,015,expert,5,1,Italian
noxi,noxi,test-additional,016,novice,4,2,Arabic
noxi,noxi,test-additional,016,expert,5,2,Arabic
noxi,noxi,test-additional,017,novice,4,2,Arabic
noxi,noxi,test-additional,017,expert,5,2,Arabic
noxi,noxi,test-additional,019,novice,3,2,Italian
noxi,noxi,test-additional,019,expert,4,2,Italian
noxi,noxi,test-additional,041,novice,4,2,Spanish
noxi,noxi,test-additional,041,expert,4,2,Spanish
noxi,noxi,test-additional,051,novice,4,1,Indonesian
noxi,noxi,test-additional,051,expert,3,1,Indonesian
noxi,noxi,test-additional,053,novice,3,1,Indonesian
noxi,noxi,test-additional,053,expert,6,2,Indonesian
noxi,noxi,test-additional,054,novice,4,1,Indonesian
noxi,noxi,test-additional,054,expert,6,2,Indonesian
noxi,noxi,test-additional,059,novice,4,2,Spanish
noxi,noxi,test-additional,059,expert,3,2,Spanish
noxi,noxi,test-additional,060,novice,3,2,Spanish
noxi,noxi,test-additional,060,expert,3,1,Spanish
noxi,noxi,test-additional,061,novice,4,2,Spanish
noxi,noxi,test-additional,061,expert,3,1,Spanish
noxi,noxi,test-additional,065,novice,4,1,Indonesian
noxi,noxi,test-additional,065,expert,6,2,Indonesian
