split,session_id,entity,feature,stream_header_file,has_binary_stream,sr,dim,num
train-cc,003,purple,openpose,purple.openpose.stream,1,30.000,139,35805
train-cc,003,purple,swin,purple.swin.stream,1,30.000,768,35805
train-cc,003,purple,videomae,purple.videomae.stream,1,30.000,1408,35805
train-cc,003,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,29840
train-cc,003,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,29825
train-cc,003,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,29825
train-cc,003,yellow,clip,yellow.clip.stream,1,30.000,512,35805
train-cc,003,yellow,dino,yellow.dino.stream,1,30.000,768,35805
train-cc,003,yellow,openface2,yellow.openface2.stream,1,30.000,714,35805
train-cc,003,yellow,openface3,yellow.openface3.stream,1,30.000,21,35805
train-cc,003,yellow,openpose,yellow.openpose.stream,1,30.000,139,35805
train-cc,003,yellow,swin,yellow.swin.stream,1,30.000,768,35805
train-cc,003,yellow,videomae,yellow.videomae.stream,1,30.000,1408,35805
train-cc,012,env,clip,env.clip.stream,1,30.000,512,33447
train-cc,012,env,dino,env.dino.stream,1,30.000,768,33447
train-cc,012,env,openface2,env.openface2.stream,1,30.000,714,33447
train-cc,012,env,openface3,env.openface3.stream,1,30.000,21,33447
train-cc,012,env,openpose,env.openpose.stream,1,30.000,139,33447
train-cc,012,env,swin,env.swin.stream,1,30.000,768,33447
train-cc,012,env,videomae,env.videomae.stream,1,30.000,1408,33447
train-cc,012,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,27874
train-cc,012,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,27850
train-cc,012,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,27850
train-cc,012,purple,clip,purple.clip.stream,1,30.000,512,33447
train-cc,012,purple,dino,purple.dino.stream,1,30.000,768,33447
train-cc,012,purple,openface2,purple.openface2.stream,1,30.000,714,33447
train-cc,012,purple,openface3,purple.openface3.stream,1,30.000,21,33447
train-cc,012,purple,openpose,purple.openpose.stream,1,30.000,139,33447
train-cc,012,purple,swin,purple.swin.stream,1,30.000,768,33447
train-cc,012,purple,videomae,purple.videomae.stream,1,30.000,1408,33447
train-cc,012,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,27874
train-cc,012,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,27850
train-cc,012,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,27850
train-cc,012,yellow,clip,yellow.clip.stream,1,30.000,512,33447
train-cc,012,yellow,dino,yellow.dino.stream,1,30.000,768,33447
train-cc,012,yellow,openface2,yellow.openface2.stream,1,30.000,714,33447
train-cc,012,yellow,openface3,yellow.openface3.stream,1,30.000,21,33447
train-cc,012,yellow,openpose,yellow.openpose.stream,1,30.000,139,33447
train-cc,012,yellow,swin,yellow.swin.stream,1,30.000,768,33447
train-cc,012,yellow,videomae,yellow.videomae.stream,1,30.000,1408,33447
train-cc,015,env,clip,env.clip.stream,1,30.000,512,22161
train-cc,015,env,dino,env.dino.stream,1,30.000,768,22161
train-cc,015,env,openface2,env.openface2.stream,1,30.000,714,22161
train-cc,015,env,openface3,env.openface3.stream,1,30.000,21,22161
train-cc,015,env,openpose,env.openpose.stream,1,30.000,139,22161
train-cc,015,env,swin,env.swin.stream,1,30.000,768,22161
train-cc,015,env,videomae,env.videomae.stream,1,30.000,1408,22161
train-cc,015,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,18469
train-cc,015,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,18450
train-cc,015,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,18450
train-cc,015,purple,clip,purple.clip.stream,1,30.000,512,22161
train-cc,015,purple,dino,purple.dino.stream,1,30.000,768,22161
train-cc,015,purple,openface2,purple.openface2.stream,1,30.000,714,22161
train-cc,015,purple,openface3,purple.openface3.stream,1,30.000,21,22161
train-cc,015,purple,openpose,purple.openpose.stream,1,30.000,139,22161
train-cc,015,purple,swin,purple.swin.stream,1,30.000,768,22161
train-cc,015,purple,videomae,purple.videomae.stream,1,30.000,1408,22161
train-cc,015,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,18469
train-cc,015,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,18450
train-cc,015,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,18450
train-cc,015,yellow,clip,yellow.clip.stream,1,30.000,512,22161
train-cc,015,yellow,dino,yellow.dino.stream,1,30.000,768,22161
train-cc,015,yellow,openface2,yellow.openface2.stream,1,30.000,714,22161
train-cc,015,yellow,openface3,yellow.openface3.stream,1,30.000,21,22161
train-cc,015,yellow,openpose,yellow.openpose.stream,1,30.000,139,22161
train-cc,015,yellow,swin,yellow.swin.stream,1,30.000,768,22161
train-cc,015,yellow,videomae,yellow.videomae.stream,1,30.000,1408,22161
train-cc,020,env,clip,env.clip.stream,1,30.000,512,65846
train-cc,020,env,dino,env.dino.stream,1,30.000,768,65846
train-cc,020,env,openface2,env.openface2.stream,1,30.000,714,65846
train-cc,020,env,openface3,env.openface3.stream,1,30.000,21,65846
train-cc,020,env,openpose,env.openpose.stream,1,30.000,139,65846
train-cc,020,env,swin,env.swin.stream,1,30.000,768,65846
train-cc,020,env,videomae,env.videomae.stream,1,30.000,1408,65846
train-cc,020,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,54874
train-cc,020,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,54850
train-cc,020,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,54850
train-cc,020,purple,clip,purple.clip.stream,1,30.000,512,65846
train-cc,020,purple,dino,purple.dino.stream,1,30.000,768,65846
train-cc,020,purple,openface2,purple.openface2.stream,1,30.000,714,65846
train-cc,020,purple,openface3,purple.openface3.stream,1,30.000,21,65846
train-cc,020,purple,openpose,purple.openpose.stream,1,30.000,139,65846
train-cc,020,purple,swin,purple.swin.stream,1,30.000,768,65846
train-cc,020,purple,videomae,purple.videomae.stream,1,30.000,1408,65846
train-cc,020,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,54874
train-cc,020,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,54850
train-cc,020,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,54850
train-cc,020,yellow,clip,yellow.clip.stream,1,30.000,512,65846
train-cc,020,yellow,dino,yellow.dino.stream,1,30.000,768,65846
train-cc,020,yellow,openface2,yellow.openface2.stream,1,30.000,714,65846
train-cc,020,yellow,openface3,yellow.openface3.stream,1,30.000,21,65846
train-cc,020,yellow,openpose,yellow.openpose.stream,1,30.000,139,65846
train-cc,020,yellow,swin,yellow.swin.stream,1,30.000,768,65846
train-cc,020,yellow,videomae,yellow.videomae.stream,1,30.000,1408,65846
train-cc,022,env,clip,env.clip.stream,1,30.000,512,16480
train-cc,022,env,dino,env.dino.stream,1,30.000,768,16480
train-cc,022,env,openface2,env.openface2.stream,1,30.000,714,16480
train-cc,022,env,openface3,env.openface3.stream,1,30.000,21,16480
train-cc,022,env,openpose,env.openpose.stream,1,30.000,139,16480
train-cc,022,env,swin,env.swin.stream,1,30.000,768,16480
train-cc,022,env,videomae,env.videomae.stream,1,30.000,1408,16480
train-cc,022,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,13735
train-cc,022,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,13725
train-cc,022,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,13725
train-cc,022,purple,clip,purple.clip.stream,1,30.000,512,16480
train-cc,022,purple,dino,purple.dino.stream,1,30.000,768,16480
train-cc,022,purple,openface2,purple.openface2.stream,1,30.000,714,16480
train-cc,022,purple,openface3,purple.openface3.stream,1,30.000,21,16480
train-cc,022,purple,openpose,purple.openpose.stream,1,30.000,139,16480
train-cc,022,purple,swin,purple.swin.stream,1,30.000,768,16480
train-cc,022,purple,videomae,purple.videomae.stream,1,30.000,1408,16480
train-cc,022,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,13735
train-cc,022,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,13725
train-cc,022,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,13725
train-cc,022,yellow,clip,yellow.clip.stream,1,30.000,512,16480
train-cc,022,yellow,dino,yellow.dino.stream,1,30.000,768,16480
train-cc,022,yellow,openface2,yellow.openface2.stream,1,30.000,714,16480
train-cc,022,yellow,openface3,yellow.openface3.stream,1,30.000,21,16480
train-cc,022,yellow,openpose,yellow.openpose.stream,1,30.000,139,16480
train-cc,022,yellow,swin,yellow.swin.stream,1,30.000,768,16480
train-cc,022,yellow,videomae,yellow.videomae.stream,1,30.000,1408,16480
train-cc,024,env,clip,env.clip.stream,1,30.000,512,24574
train-cc,024,env,dino,env.dino.stream,1,30.000,768,24574
train-cc,024,env,openface2,env.openface2.stream,1,30.000,714,24574
train-cc,024,env,openface3,env.openface3.stream,1,30.000,21,24574
train-cc,024,env,openpose,env.openpose.stream,1,30.000,139,24574
train-cc,024,env,swin,env.swin.stream,1,30.000,768,24574
train-cc,024,env,videomae,env.videomae.stream,1,30.000,1408,24574
train-cc,024,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,20480
train-cc,024,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,20475
train-cc,024,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,20475
train-cc,024,purple,clip,purple.clip.stream,1,30.000,512,24574
train-cc,024,purple,dino,purple.dino.stream,1,30.000,768,24574
train-cc,024,purple,openface2,purple.openface2.stream,1,30.000,714,24574
train-cc,024,purple,openface3,purple.openface3.stream,1,30.000,21,24574
train-cc,024,purple,openpose,purple.openpose.stream,1,30.000,139,24574
train-cc,024,purple,swin,purple.swin.stream,1,30.000,768,24574
train-cc,024,purple,videomae,purple.videomae.stream,1,30.000,1408,24574
train-cc,024,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,20480
train-cc,024,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,20475
train-cc,024,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,20475
train-cc,024,yellow,clip,yellow.clip.stream,1,30.000,512,24574
train-cc,024,yellow,dino,yellow.dino.stream,1,30.000,768,24574
train-cc,024,yellow,openface2,yellow.openface2.stream,1,30.000,714,24574
train-cc,024,yellow,openface3,yellow.openface3.stream,1,30.000,21,24574
train-cc,024,yellow,openpose,yellow.openpose.stream,1,30.000,139,24574
train-cc,024,yellow,swin,yellow.swin.stream,1,30.000,768,24574
train-cc,024,yellow,videomae,yellow.videomae.stream,1,30.000,1408,24574
train-cc,028,env,clip,env.clip.stream,1,30.000,512,53393
train-cc,028,env,dino,env.dino.stream,1,30.000,768,53393
train-cc,028,env,openface2,env.openface2.stream,1,30.000,714,53393
train-cc,028,env,openface3,env.openface3.stream,1,30.000,21,53393
train-cc,028,env,openpose,env.openpose.stream,1,30.000,139,53393
train-cc,028,env,swin,env.swin.stream,1,30.000,768,53393
train-cc,028,env,videomae,env.videomae.stream,1,30.000,1408,53393
train-cc,028,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,44496
train-cc,028,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,44475
train-cc,028,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,44475
train-cc,028,purple,clip,purple.clip.stream,1,30.000,512,53393
train-cc,028,purple,dino,purple.dino.stream,1,30.000,768,53393
train-cc,028,purple,openface2,purple.openface2.stream,1,30.000,714,53393
train-cc,028,purple,openface3,purple.openface3.stream,1,30.000,21,53393
train-cc,028,purple,openpose,purple.openpose.stream,1,30.000,139,53393
train-cc,028,purple,swin,purple.swin.stream,1,30.000,768,53393
train-cc,028,purple,videomae,purple.videomae.stream,1,30.000,1408,53393
train-cc,028,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,44496
train-cc,028,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,44475
train-cc,028,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,44475
train-cc,028,yellow,clip,yellow.clip.stream,1,30.000,512,53393
train-cc,028,yellow,dino,yellow.dino.stream,1,30.000,768,53393
train-cc,028,yellow,openface2,yellow.openface2.stream,1,30.000,714,53393
train-cc,028,yellow,openface3,yellow.openface3.stream,1,30.000,21,53393
train-cc,028,yellow,openpose,yellow.openpose.stream,1,30.000,139,53393
train-cc,028,yellow,swin,yellow.swin.stream,1,30.000,768,53393
train-cc,028,yellow,videomae,yellow.videomae.stream,1,30.000,1408,53393
train-cc,029,env,clip,env.clip.stream,1,30.000,512,71837
train-cc,029,env,dino,env.dino.stream,1,30.000,768,71837
train-cc,029,env,openface2,env.openface2.stream,1,30.000,714,71837
train-cc,029,env,openface3,env.openface3.stream,1,30.000,21,71837
train-cc,029,env,openpose,env.openpose.stream,1,30.000,139,71837
train-cc,029,env,swin,env.swin.stream,1,30.000,768,71837
train-cc,029,env,videomae,env.videomae.stream,1,30.000,1408,71837
train-cc,029,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,59866
train-cc,029,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,59850
train-cc,029,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,59850
train-cc,029,purple,clip,purple.clip.stream,1,30.000,512,71837
train-cc,029,purple,dino,purple.dino.stream,1,30.000,768,71837
train-cc,029,purple,openface2,purple.openface2.stream,1,30.000,714,71837
train-cc,029,purple,openface3,purple.openface3.stream,1,30.000,21,71837
train-cc,029,purple,openpose,purple.openpose.stream,1,30.000,139,71837
train-cc,029,purple,swin,purple.swin.stream,1,30.000,768,71837
train-cc,029,purple,videomae,purple.videomae.stream,1,30.000,1408,71837
train-cc,029,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,59866
train-cc,029,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,59850
train-cc,029,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,59850
train-cc,029,yellow,clip,yellow.clip.stream,1,30.000,512,71837
train-cc,029,yellow,dino,yellow.dino.stream,1,30.000,768,71837
train-cc,029,yellow,openface2,yellow.openface2.stream,1,30.000,714,71837
train-cc,029,yellow,openface3,yellow.openface3.stream,1,30.000,21,71837
train-cc,029,yellow,openpose,yellow.openpose.stream,1,30.000,139,71837
train-cc,029,yellow,swin,yellow.swin.stream,1,30.000,768,71837
train-cc,029,yellow,videomae,yellow.videomae.stream,1,30.000,1408,71837
train-cc,033,env,clip,env.clip.stream,1,30.000,512,71818
train-cc,033,env,dino,env.dino.stream,1,30.000,768,71818
train-cc,033,env,openface2,env.openface2.stream,1,30.000,714,71818
train-cc,033,env,openface3,env.openface3.stream,1,30.000,21,71818
train-cc,033,env,openpose,env.openpose.stream,1,30.000,139,71818
train-cc,033,env,swin,env.swin.stream,1,30.000,768,71818
train-cc,033,env,videomae,env.videomae.stream,1,30.000,1408,71818
train-cc,033,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,59851
train-cc,033,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,59825
train-cc,033,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,59825
train-cc,033,purple,clip,purple.clip.stream,1,30.000,512,71818
train-cc,033,purple,dino,purple.dino.stream,1,30.000,768,71818
train-cc,033,purple,openface2,purple.openface2.stream,1,30.000,714,71818
train-cc,033,purple,openface3,purple.openface3.stream,1,30.000,21,71818
train-cc,033,purple,openpose,purple.openpose.stream,1,30.000,139,71818
train-cc,033,purple,swin,purple.swin.stream,1,30.000,768,71818
train-cc,033,purple,videomae,purple.videomae.stream,1,30.000,1408,71818
train-cc,033,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,59851
train-cc,033,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,59825
train-cc,033,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,59825
train-cc,033,yellow,clip,yellow.clip.stream,1,30.000,512,71818
train-cc,033,yellow,dino,yellow.dino.stream,1,30.000,768,71818
train-cc,033,yellow,openface2,yellow.openface2.stream,1,30.000,714,71818
train-cc,033,yellow,openface3,yellow.openface3.stream,1,30.000,21,71818
train-cc,033,yellow,openpose,yellow.openpose.stream,1,30.000,139,71818
train-cc,033,yellow,swin,yellow.swin.stream,1,30.000,768,71818
train-cc,033,yellow,videomae,yellow.videomae.stream,1,30.000,1408,71818
train-cc,037,env,clip,env.clip.stream,1,30.000,512,36762
train-cc,037,env,dino,env.dino.stream,1,30.000,768,36762
train-cc,037,env,openface2,env.openface2.stream,1,30.000,714,36762
train-cc,037,env,openface3,env.openface3.stream,1,30.000,21,36762
train-cc,037,env,openpose,env.openpose.stream,1,30.000,139,36762
train-cc,037,env,swin,env.swin.stream,1,30.000,768,36762
train-cc,037,env,videomae,env.videomae.stream,1,30.000,1408,36762
train-cc,037,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,30636
train-cc,037,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,30625
train-cc,037,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,30625
train-cc,037,purple,clip,purple.clip.stream,1,30.000,512,36762
train-cc,037,purple,dino,purple.dino.stream,1,30.000,768,36762
train-cc,037,purple,openface2,purple.openface2.stream,1,30.000,714,36762
train-cc,037,purple,openface3,purple.openface3.stream,1,30.000,21,36762
train-cc,037,purple,openpose,purple.openpose.stream,1,30.000,139,36762
train-cc,037,purple,swin,purple.swin.stream,1,30.000,768,36762
train-cc,037,purple,videomae,purple.videomae.stream,1,30.000,1408,36762
train-cc,037,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,30637
train-cc,037,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,30625
train-cc,037,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,30625
train-cc,037,yellow,clip,yellow.clip.stream,1,30.000,512,36762
train-cc,037,yellow,dino,yellow.dino.stream,1,30.000,768,36762
train-cc,037,yellow,openface2,yellow.openface2.stream,1,30.000,714,36762
train-cc,037,yellow,openface3,yellow.openface3.stream,1,30.000,21,36762
train-cc,037,yellow,openpose,yellow.openpose.stream,1,30.000,139,36762
train-cc,037,yellow,swin,yellow.swin.stream,1,30.000,768,36762
train-cc,037,yellow,videomae,yellow.videomae.stream,1,30.000,1408,36762
train-cc,039,env,clip,env.clip.stream,1,30.000,512,71840
train-cc,039,env,dino,env.dino.stream,1,30.000,768,71840
train-cc,039,env,openface2,env.openface2.stream,1,30.000,714,71840
train-cc,039,env,openface3,env.openface3.stream,1,30.000,21,71840
train-cc,039,env,openpose,env.openpose.stream,1,30.000,139,71840
train-cc,039,env,swin,env.swin.stream,1,30.000,768,71840
train-cc,039,env,videomae,env.videomae.stream,1,30.000,1408,71840
train-cc,039,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,59869
train-cc,039,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,59850
train-cc,039,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,59850
train-cc,039,purple,clip,purple.clip.stream,1,30.000,512,71840
train-cc,039,purple,dino,purple.dino.stream,1,30.000,768,71840
train-cc,039,purple,openface2,purple.openface2.stream,1,30.000,714,71840
train-cc,039,purple,openface3,purple.openface3.stream,1,30.000,21,71840
train-cc,039,purple,openpose,purple.openpose.stream,1,30.000,139,71840
train-cc,039,purple,swin,purple.swin.stream,1,30.000,768,71840
train-cc,039,purple,videomae,purple.videomae.stream,1,30.000,1408,71840
train-cc,039,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,59869
train-cc,039,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,59850
train-cc,039,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,59850
train-cc,039,yellow,clip,yellow.clip.stream,1,30.000,512,71840
train-cc,039,yellow,dino,yellow.dino.stream,1,30.000,768,71840
train-cc,039,yellow,openface2,yellow.openface2.stream,1,30.000,714,71840
train-cc,039,yellow,openface3,yellow.openface3.stream,1,30.000,21,71840
train-cc,039,yellow,openpose,yellow.openpose.stream,1,30.000,139,71840
train-cc,039,yellow,swin,yellow.swin.stream,1,30.000,768,71840
train-cc,039,yellow,videomae,yellow.videomae.stream,1,30.000,1408,71840
train-cc,042,env,clip,env.clip.stream,1,30.000,512,40097
train-cc,042,env,dino,env.dino.stream,1,30.000,768,40097
train-cc,042,env,openface2,env.openface2.stream,1,30.000,714,40097
train-cc,042,env,openface3,env.openface3.stream,1,30.000,21,40097
train-cc,042,env,openpose,env.openpose.stream,1,30.000,139,40097
train-cc,042,env,swin,env.swin.stream,1,30.000,768,40097
train-cc,042,env,videomae,env.videomae.stream,1,30.000,1408,40097
train-cc,042,purple,audio.egemapsv2,purple.audio.egemapsv2.stream,1,25.000,88,33416
train-cc,042,purple,audio.w2vbert2_embeddings,purple.audio.w2vbert2_embeddings.stream,1,25.000,1024,33400
train-cc,042,purple,audio.xlm_roberta_embeddings,purple.audio.xlm_roberta_embeddings.stream,1,25.000,768,33400
train-cc,042,purple,clip,purple.clip.stream,1,30.000,512,40097
train-cc,042,purple,dino,purple.dino.stream,1,30.000,768,40097
train-cc,042,purple,openface2,purple.openface2.stream,1,30.000,714,40097
train-cc,042,purple,openface3,purple.openface3.stream,1,30.000,21,40097
train-cc,042,purple,openpose,purple.openpose.stream,1,30.000,139,40097
train-cc,042,purple,swin,purple.swin.stream,1,30.000,768,40097
train-cc,042,purple,videomae,purple.videomae.stream,1,30.000,1408,40097
train-cc,042,yellow,audio.egemapsv2,yellow.audio.egemapsv2.stream,1,25.000,88,33416
train-cc,042,yellow,audio.w2vbert2_embeddings,yellow.audio.w2vbert2_embeddings.stream,1,25.000,1024,33400
train-cc,042,yellow,audio.xlm_roberta_embeddings,yellow.audio.xlm_roberta_embeddings.stream,1,25.000,768,33400
train-cc,042,yellow,clip,yellow.clip.stream,1,30.000,512,40097
train-cc,042,yellow,dino,yellow.dino.stream,1,30.000,768,40097
train-cc,042,yellow,openface2,yellow.openface2.stream,1,30.000,714,40097
train-cc,042,yellow,openface3,yellow.openface3.stream,1,30.000,21,40097
train-cc,042,yellow,openpose,yellow.openpose.stream,1,30.000,139,40097
train-cc,042,yellow,swin,yellow.swin.stream,1,30.000,768,40097
train-cc,042,yellow,videomae,yellow.videomae.stream,1,30.000,1408,40097
train-cc,043,env,clip,env.clip.stream,1,30.000,512,16823
train-cc,043,env,dino,env.dino.stream,1,30.000,768,16823
train-cc,043,env,openface2,env.openface2.stream,1,30.000,714,16823
train-cc,043,env,openface3,env.openface3.stream,1,30.000,21,16823
train-cc,043,env,openpose,env.openpose.stream,1,30.000,139,16823
train-cc,043,env,swin,env.swin.stream,1,30.000,768,16823
train-cc,043,env,videomae,env.videomae.stream,1,30.000,1408,16823
