split,session_id,task,label,run_id,start_idx,end_idx,length_frames,length_seconds,prev_label,next_label
train-cc,020,social_engagement,parallel,64,44045,45919,1875,62.50000000,associative,solitary
train-cc,020,social_engagement,solitary,65,45920,45940,21,0.70000000,parallel,onlooker
train-cc,020,social_engagement,onlooker,66,45941,46201,261,8.70000000,solitary,parallel
train-cc,020,social_engagement,parallel,67,46202,46356,155,5.16666667,onlooker,associative
train-cc,020,social_engagement,associative,68,46357,46721,365,12.16666667,parallel,cooperative
train-cc,020,social_engagement,cooperative,69,46722,46961,240,8.00000000,associative,associative
train-cc,020,social_engagement,associative,70,46962,48307,1346,44.86666667,cooperative,solitary
train-cc,020,social_engagement,solitary,71,48308,48643,336,11.20000000,associative,onlooker
train-cc,020,social_engagement,onlooker,72,48644,48898,255,8.50000000,solitary,associative
train-cc,020,social_engagement,associative,73,48899,49032,134,4.46666667,onlooker,onlooker
train-cc,020,social_engagement,onlooker,74,49033,50280,1248,41.60000000,associative,cooperative
train-cc,020,social_engagement,cooperative,75,50281,50423,143,4.76666667,onlooker,onlooker
train-cc,020,social_engagement,onlooker,76,50424,50962,539,17.96666667,cooperative,parallel
train-cc,020,social_engagement,parallel,77,50963,51635,673,22.43333333,onlooker,cooperative
train-cc,020,social_engagement,cooperative,78,51636,52264,629,20.96666667,parallel,parallel
train-cc,020,social_engagement,parallel,79,52265,52692,428,14.26666667,cooperative,onlooker
train-cc,020,social_engagement,onlooker,80,52693,52870,178,5.93333333,parallel,solitary
train-cc,020,social_engagement,solitary,81,52871,52927,57,1.90000000,onlooker,parallel
train-cc,020,social_engagement,parallel,82,52928,53484,557,18.56666667,solitary,onlooker
train-cc,020,social_engagement,onlooker,83,53485,54126,642,21.40000000,parallel,solitary
train-cc,020,social_engagement,solitary,84,54127,54141,15,0.50000000,onlooker,onlooker
train-cc,020,social_engagement,onlooker,85,54142,54262,121,4.03333333,solitary,solitary
train-cc,020,social_engagement,solitary,86,54263,54403,141,4.70000000,onlooker,onlooker
train-cc,020,social_engagement,onlooker,87,54404,55750,1347,44.90000000,solitary,cooperative
train-cc,020,social_engagement,cooperative,88,55751,56266,516,17.20000000,onlooker,parallel
train-cc,020,social_engagement,parallel,89,56267,56922,656,21.86666667,cooperative,onlooker
train-cc,020,social_engagement,onlooker,90,56923,57040,118,3.93333333,parallel,parallel
train-cc,020,social_engagement,parallel,91,57041,57251,211,7.03333333,onlooker,associative
train-cc,020,social_engagement,associative,92,57252,57479,228,7.60000000,parallel,parallel
train-cc,020,social_engagement,parallel,93,57480,58077,598,19.93333333,associative,onlooker
train-cc,020,social_engagement,onlooker,94,58078,58543,466,15.53333333,parallel,parallel
train-cc,020,social_engagement,parallel,95,58544,58572,29,0.96666667,onlooker,cooperative
