split,session_id,color,task,file_type,total_rows,nonblank_rows,blank_rows,agreement_rate
train-cc,033,yellow,social_engagement,main,71819,71819,0,1.000000
train-cc,037,purple,task_engagement,main,36762,14484,22278,0.393994
train-cc,037,purple,social_engagement,main,36762,10668,26094,0.290191
train-cc,037,yellow,task_engagement,main,36762,13493,23269,0.367037
train-cc,037,yellow,social_engagement,main,36762,10088,26674,0.274414
train-cc,039,purple,task_engagement,main,71841,71841,0,1.000000
train-cc,039,purple,social_engagement,main,71841,71841,0,1.000000
train-cc,039,yellow,task_engagement,main,71841,71841,0,1.000000
train-cc,039,yellow,social_engagement,main,71841,71841,0,1.000000
train-cc,042,purple,task_engagement,main,40097,19088,21009,0.476046
train-cc,042,purple,social_engagement,main,40097,16196,23901,0.403920
train-cc,042,yellow,task_engagement,main,40097,20126,19971,0.501933
train-cc,042,yellow,social_engagement,main,40097,16819,23278,0.419458
train-cc,043,purple,task_engagement,main,16824,16823,1,0.999941
train-cc,043,purple,social_engagement,main,16824,16823,1,0.999941
train-cc,043,yellow,task_engagement,main,16824,16823,1,0.999941
train-cc,043,yellow,social_engagement,main,16824,16823,1,0.999941
train-cc,044,purple,task_engagement,main,46684,46684,0,1.000000
train-cc,044,purple,social_engagement,main,46684,46684,0,1.000000
train-cc,044,yellow,task_engagement,main,46684,46684,0,1.000000
train-cc,044,yellow,social_engagement,main,46684,46684,0,1.000000
train-cc,051,purple,task_engagement,main,58801,58799,2,0.999966
train-cc,051,purple,social_engagement,main,58801,58799,2,0.999966
train-cc,051,yellow,task_engagement,main,58801,58799,2,0.999966
train-cc,051,yellow,social_engagement,main,58801,58799,2,0.999966
train-cc,054,purple,task_engagement,main,71835,71835,0,1.000000
train-cc,054,purple,social_engagement,main,71835,71835,0,1.000000
train-cc,054,yellow,task_engagement,main,71835,71835,0,1.000000
train-cc,054,yellow,social_engagement,main,71835,71835,0,1.000000
train-cc,058,purple,task_engagement,main,55754,55754,0,1.000000
train-cc,058,purple,social_engagement,main,55754,55754,0,1.000000
train-cc,058,yellow,task_engagement,main,55754,55754,0,1.000000
train-cc,058,yellow,social_engagement,main,55754,55754,0,1.000000
train-cc,060,purple,task_engagement,main,13351,13351,0,1.000000
train-cc,060,purple,social_engagement,main,13351,13351,0,1.000000
train-cc,060,yellow,task_engagement,main,13351,13351,0,1.000000
train-cc,060,yellow,social_engagement,main,13351,13351,0,1.000000
train-cc,061,purple,task_engagement,main,52027,52027,0,1.000000
train-cc,061,purple,social_engagement,main,52027,52027,0,1.000000
train-cc,061,yellow,task_engagement,main,52027,52027,0,1.000000
train-cc,061,yellow,social_engagement,main,52027,52027,0,1.000000
train-cr,004,purple,task_engagement,main,28531,28531,0,1.000000
train-cr,004,purple,social_engagement,main,28531,28531,0,1.000000
train-cr,004,yellow,task_engagement,main,28531,28531,0,1.000000
train-cr,004,yellow,social_engagement,main,28531,28531,0,1.000000
train-cr,023,purple,task_engagement,main,16308,16308,0,1.000000
train-cr,023,purple,social_engagement,main,16308,16308,0,1.000000
train-cr,023,yellow,task_engagement,main,16308,16308,0,1.000000
train-cr,023,yellow,social_engagement,main,16308,16308,0,1.000000
train-cr,032,purple,task_engagement,main,25492,25491,1,0.999961
train-cr,032,purple,social_engagement,main,25492,25491,1,0.999961
train-cr,032,yellow,task_engagement,main,25492,25491,1,0.999961
train-cr,032,yellow,social_engagement,main,25492,25491,1,0.999961
train-cr,045,purple,task_engagement,main,35007,35007,0,1.000000
train-cr,045,purple,social_engagement,main,35007,35007,0,1.000000
train-cr,045,yellow,task_engagement,main,35007,35007,0,1.000000
train-cr,045,yellow,social_engagement,main,35007,35007,0,1.000000
train-cr,047,purple,task_engagement,main,31600,31599,1,0.999968
train-cr,047,purple,social_engagement,main,31600,31599,1,0.999968
train-cr,047,yellow,task_engagement,main,31600,31599,1,0.999968
train-cr,047,yellow,social_engagement,main,31600,31599,1,0.999968
train-cr,048,purple,task_engagement,main,16634,16633,1,0.999940
train-cr,048,purple,social_engagement,main,16634,16633,1,0.999940
train-cr,048,yellow,task_engagement,main,16634,16633,1,0.999940
train-cr,048,yellow,social_engagement,main,16634,16633,1,0.999940
train-cr,050,purple,task_engagement,main,28744,28743,1,0.999965
train-cr,050,purple,social_engagement,main,28744,28743,1,0.999965
train-cr,050,yellow,task_engagement,main,28744,28743,1,0.999965
train-cr,050,yellow,social_engagement,main,28744,28743,1,0.999965
train-cr,056,purple,task_engagement,main,11078,11078,0,1.000000
train-cr,056,purple,social_engagement,main,11078,11078,0,1.000000
train-cr,056,yellow,task_engagement,main,11078,11078,0,1.000000
train-cr,056,yellow,social_engagement,main,11078,11078,0,1.000000
train-cr,057,purple,task_engagement,main,51250,51249,1,0.999980
train-cr,057,purple,social_engagement,main,51250,51249,1,0.999980
train-cr,057,yellow,task_engagement,main,51250,51249,1,0.999980
train-cr,057,yellow,social_engagement,main,51250,51249,1,0.999980
train-cr,063,purple,task_engagement,main,71846,71846,0,1.000000
train-cr,063,purple,social_engagement,main,71846,71846,0,1.000000
train-cr,063,yellow,task_engagement,main,71846,71846,0,1.000000
train-cr,063,yellow,social_engagement,main,71846,71846,0,1.000000
train-cr,067,purple,task_engagement,main,31271,31270,1,0.999968
train-cr,067,purple,social_engagement,main,31271,31270,1,0.999968
train-cr,067,yellow,task_engagement,main,31271,31270,1,0.999968
train-cr,067,yellow,social_engagement,main,31271,31270,1,0.999968
train-cr,069,purple,task_engagement,main,59141,59141,0,1.000000
train-cr,069,purple,social_engagement,main,59141,59141,0,1.000000
train-cr,069,yellow,task_engagement,main,59141,59141,0,1.000000
train-cr,069,yellow,social_engagement,main,59141,59141,0,1.000000
