split,session_id,color,task,label,count
train-cc,039,purple,task_engagement,aimless,4535
train-cc,039,purple,task_engagement,goaloriented,61209
train-cc,039,purple,task_engagement,noplay,5577
train-cc,039,purple,social_engagement,associative,25687
train-cc,039,purple,social_engagement,cooperative,40230
train-cc,039,purple,social_engagement,onlooker,3141
train-cc,039,purple,social_engagement,parallel,1607
train-cc,039,purple,social_engagement,solitary,1176
train-cc,039,yellow,task_engagement,adultseeking,720
train-cc,039,yellow,task_engagement,aimless,7883
train-cc,039,yellow,task_engagement,goaloriented,61532
train-cc,039,yellow,task_engagement,noplay,1706
train-cc,039,yellow,social_engagement,associative,27865
train-cc,039,yellow,social_engagement,cooperative,40362
train-cc,039,yellow,social_engagement,parallel,1812
train-cc,039,yellow,social_engagement,solitary,1802
train-cc,042,purple,task_engagement,goaloriented,4174
train-cc,042,purple,task_engagement,nan,13290
train-cc,042,purple,task_engagement,noplay,1624
train-cc,042,purple,social_engagement,cooperative,1809
train-cc,042,purple,social_engagement,nan,13290
train-cc,042,purple,social_engagement,parallel,66
train-cc,042,purple,social_engagement,solitary,1031
train-cc,042,yellow,task_engagement,goaloriented,5661
train-cc,042,yellow,task_engagement,nan,13290
train-cc,042,yellow,task_engagement,noplay,1175
train-cc,042,yellow,social_engagement,cooperative,1809
train-cc,042,yellow,social_engagement,nan,13913
train-cc,042,yellow,social_engagement,parallel,66
train-cc,042,yellow,social_engagement,solitary,1031
train-cc,043,purple,task_engagement,aimless,11850
train-cc,043,purple,task_engagement,goaloriented,3443
train-cc,043,purple,task_engagement,noplay,1530
train-cc,043,purple,social_engagement,cooperative,6212
train-cc,043,purple,social_engagement,parallel,8957
train-cc,043,purple,social_engagement,solitary,1654
train-cc,043,yellow,task_engagement,adultseeking,165
train-cc,043,yellow,task_engagement,aimless,7891
train-cc,043,yellow,task_engagement,goaloriented,3677
train-cc,043,yellow,task_engagement,noplay,5090
train-cc,043,yellow,social_engagement,cooperative,4554
train-cc,043,yellow,social_engagement,onlooker,2163
train-cc,043,yellow,social_engagement,parallel,8452
train-cc,043,yellow,social_engagement,solitary,1654
train-cc,044,purple,task_engagement,aimless,12794
train-cc,044,purple,task_engagement,goaloriented,30172
train-cc,044,purple,task_engagement,noplay,3718
train-cc,044,purple,social_engagement,cooperative,41644
train-cc,044,purple,social_engagement,parallel,4077
train-cc,044,purple,social_engagement,solitary,963
train-cc,044,yellow,task_engagement,aimless,12426
train-cc,044,yellow,task_engagement,goaloriented,21490
train-cc,044,yellow,task_engagement,noplay,12768
train-cc,044,yellow,social_engagement,cooperative,41644
train-cc,044,yellow,social_engagement,parallel,4077
train-cc,044,yellow,social_engagement,solitary,963
train-cc,051,purple,task_engagement,aimless,4909
train-cc,051,purple,task_engagement,goaloriented,52376
train-cc,051,purple,task_engagement,noplay,1514
train-cc,051,purple,social_engagement,associative,1940
train-cc,051,purple,social_engagement,cooperative,53465
train-cc,051,purple,social_engagement,onlooker,1886
train-cc,051,purple,social_engagement,solitary,1508
train-cc,051,yellow,task_engagement,aimless,3472
train-cc,051,yellow,task_engagement,goaloriented,53818
train-cc,051,yellow,task_engagement,noplay,1509
train-cc,051,yellow,social_engagement,associative,866
train-cc,051,yellow,social_engagement,cooperative,51015
train-cc,051,yellow,social_engagement,onlooker,5410
train-cc,051,yellow,social_engagement,solitary,1508
train-cc,054,purple,task_engagement,aimless,4609
train-cc,054,purple,task_engagement,goaloriented,60448
train-cc,054,purple,task_engagement,noplay,6778
train-cc,054,purple,social_engagement,cooperative,4196
train-cc,054,purple,social_engagement,onlooker,2938
train-cc,054,purple,social_engagement,parallel,55133
train-cc,054,purple,social_engagement,solitary,9568
train-cc,054,yellow,task_engagement,aimless,2768
train-cc,054,yellow,task_engagement,goaloriented,52617
train-cc,054,yellow,task_engagement,noplay,16450
train-cc,054,yellow,social_engagement,cooperative,4196
train-cc,054,yellow,social_engagement,onlooker,3478
train-cc,054,yellow,social_engagement,parallel,58958
train-cc,054,yellow,social_engagement,solitary,5203
train-cc,058,purple,task_engagement,adultseeking,742
train-cc,058,purple,task_engagement,aimless,20959
train-cc,058,purple,task_engagement,goaloriented,6904
train-cc,058,purple,task_engagement,nan,5562
train-cc,058,purple,task_engagement,noplay,21587
train-cc,058,purple,social_engagement,cooperative,29724
train-cc,058,purple,social_engagement,nan,5562
train-cc,058,purple,social_engagement,parallel,18909
train-cc,058,purple,social_engagement,solitary,1559
train-cc,058,yellow,task_engagement,aimless,33274
train-cc,058,yellow,task_engagement,goaloriented,3502
train-cc,058,yellow,task_engagement,nan,5562
train-cc,058,yellow,task_engagement,noplay,13416
train-cc,058,yellow,social_engagement,cooperative,29125
train-cc,058,yellow,social_engagement,nan,5562
train-cc,058,yellow,social_engagement,parallel,17531
train-cc,058,yellow,social_engagement,solitary,3536
train-cc,060,purple,task_engagement,adultseeking,372
train-cc,060,purple,task_engagement,goaloriented,10536
train-cc,060,purple,task_engagement,noplay,2443
train-cc,060,purple,social_engagement,associative,1432
train-cc,060,purple,social_engagement,cooperative,10004
train-cc,060,purple,social_engagement,parallel,474
train-cc,060,purple,social_engagement,solitary,1441
train-cc,060,yellow,task_engagement,adultseeking,407
train-cc,060,yellow,task_engagement,aimless,1082
train-cc,060,yellow,task_engagement,goaloriented,9857
train-cc,060,yellow,task_engagement,noplay,2005
train-cc,060,yellow,social_engagement,associative,1432
train-cc,060,yellow,social_engagement,cooperative,10004
train-cc,060,yellow,social_engagement,parallel,474
train-cc,060,yellow,social_engagement,solitary,1441
train-cc,061,purple,task_engagement,aimless,28478
train-cc,061,purple,task_engagement,goaloriented,13440
train-cc,061,purple,task_engagement,noplay,10109
train-cc,061,purple,social_engagement,cooperative,23162
train-cc,061,purple,social_engagement,parallel,27770
train-cc,061,purple,social_engagement,solitary,1095
train-cc,061,yellow,task_engagement,adultseeking,245
train-cc,061,yellow,task_engagement,aimless,18363
train-cc,061,yellow,task_engagement,goaloriented,16306
train-cc,061,yellow,task_engagement,noplay,17113
train-cc,061,yellow,social_engagement,cooperative,23162
train-cc,061,yellow,social_engagement,parallel,27770
train-cc,061,yellow,social_engagement,solitary,1095
train-cr,004,purple,task_engagement,adultseeking,1629
train-cr,004,purple,task_engagement,aimless,3107
train-cr,004,purple,task_engagement,goaloriented,22674
train-cr,004,purple,task_engagement,noplay,1121
train-cr,004,purple,social_engagement,onlooker,784
train-cr,004,purple,social_engagement,parallel,24262
train-cr,004,purple,social_engagement,solitary,3485
train-cr,004,yellow,task_engagement,aimless,26507
train-cr,004,yellow,task_engagement,noplay,2024
train-cr,004,yellow,social_engagement,onlooker,3200
train-cr,004,yellow,social_engagement,parallel,21846
train-cr,004,yellow,social_engagement,solitary,3485
train-cr,023,purple,task_engagement,adultseeking,5852
train-cr,023,purple,task_engagement,goaloriented,10024
train-cr,023,purple,task_engagement,noplay,432
train-cr,023,purple,social_engagement,onlooker,1405
train-cr,023,purple,social_engagement,parallel,13835
train-cr,023,purple,social_engagement,solitary,1068
train-cr,023,yellow,task_engagement,noplay,16308
train-cr,023,yellow,social_engagement,parallel,15240
train-cr,023,yellow,social_engagement,solitary,1068
train-cr,032,purple,task_engagement,adultseeking,247
train-cr,032,purple,task_engagement,aimless,782
train-cr,032,purple,task_engagement,goaloriented,17603
train-cr,032,purple,task_engagement,noplay,6859
train-cr,032,purple,social_engagement,associative,51
train-cr,032,purple,social_engagement,onlooker,3312
train-cr,032,purple,social_engagement,parallel,719
train-cr,032,purple,social_engagement,solitary,21409
train-cr,032,yellow,task_engagement,noplay,25491
train-cr,032,yellow,social_engagement,associative,12782
train-cr,032,yellow,social_engagement,onlooker,6858
train-cr,032,yellow,social_engagement,parallel,5147
train-cr,032,yellow,social_engagement,solitary,704
train-cr,045,purple,task_engagement,adultseeking,359
train-cr,045,purple,task_engagement,aimless,5168
train-cr,045,purple,task_engagement,goaloriented,27216
train-cr,045,purple,task_engagement,noplay,2264
train-cr,045,purple,social_engagement,associative,100
train-cr,045,purple,social_engagement,onlooker,185
train-cr,045,purple,social_engagement,parallel,32443
train-cr,045,purple,social_engagement,solitary,2279
train-cr,045,yellow,task_engagement,noplay,35007
train-cr,045,yellow,social_engagement,associative,100
train-cr,045,yellow,social_engagement,parallel,32628
train-cr,045,yellow,social_engagement,solitary,2279
train-cr,047,purple,task_engagement,aimless,640
train-cr,047,purple,task_engagement,goaloriented,20809
train-cr,047,purple,task_engagement,noplay,10150
train-cr,047,purple,social_engagement,associative,561
train-cr,047,purple,social_engagement,onlooker,509
train-cr,047,purple,social_engagement,parallel,27900
train-cr,047,purple,social_engagement,solitary,2629
train-cr,047,yellow,task_engagement,noplay,31599
train-cr,047,yellow,social_engagement,associative,561
train-cr,047,yellow,social_engagement,parallel,28409
train-cr,047,yellow,social_engagement,solitary,2629
train-cr,048,purple,task_engagement,adultseeking,451
train-cr,048,purple,task_engagement,aimless,218
train-cr,048,purple,task_engagement,goaloriented,10819
train-cr,048,purple,task_engagement,noplay,5145
train-cr,048,purple,social_engagement,solitary,16633
train-cr,048,yellow,task_engagement,noplay,16633
train-cr,048,yellow,social_engagement,solitary,16633
train-cr,050,purple,task_engagement,adultseeking,1368
train-cr,050,purple,task_engagement,goaloriented,23598
train-cr,050,purple,task_engagement,noplay,3777
train-cr,050,purple,social_engagement,solitary,28743
train-cr,050,yellow,task_engagement,noplay,28743
train-cr,050,yellow,social_engagement,solitary,28743
train-cr,056,purple,task_engagement,adultseeking,31
train-cr,056,purple,task_engagement,goaloriented,9047
train-cr,056,purple,task_engagement,noplay,2000
train-cr,056,purple,social_engagement,parallel,933
train-cr,056,purple,social_engagement,solitary,10145
train-cr,056,yellow,task_engagement,goaloriented,1206
train-cr,056,yellow,task_engagement,noplay,9872
train-cr,056,yellow,social_engagement,onlooker,8053
train-cr,056,yellow,social_engagement,parallel,931
train-cr,056,yellow,social_engagement,solitary,2094
train-cr,057,purple,task_engagement,adultseeking,204
train-cr,057,purple,task_engagement,goaloriented,44000
train-cr,057,purple,task_engagement,nan,102
train-cr,057,purple,task_engagement,noplay,6943
train-cr,057,purple,social_engagement,nan,102
train-cr,057,purple,social_engagement,solitary,51147
train-cr,057,yellow,task_engagement,nan,102
train-cr,057,yellow,task_engagement,noplay,51147
train-cr,057,yellow,social_engagement,nan,102
train-cr,057,yellow,social_engagement,solitary,51147
train-cr,063,purple,task_engagement,adultseeking,2756
train-cr,063,purple,task_engagement,aimless,7732
train-cr,063,purple,task_engagement,goaloriented,54320
train-cr,063,purple,task_engagement,nan,2327
train-cr,063,purple,task_engagement,noplay,4711
train-cr,063,purple,social_engagement,nan,2327
train-cr,063,purple,social_engagement,onlooker,2699
train-cr,063,purple,social_engagement,parallel,2451
train-cr,063,purple,social_engagement,solitary,64369
train-cr,063,yellow,task_engagement,nan,2327
train-cr,063,yellow,task_engagement,noplay,69519
train-cr,063,yellow,social_engagement,nan,2327
train-cr,063,yellow,social_engagement,parallel,67608
train-cr,063,yellow,social_engagement,solitary,1911
train-cr,067,purple,task_engagement,aimless,1042
train-cr,067,purple,task_engagement,goaloriented,25820
train-cr,067,purple,task_engagement,noplay,4408
train-cr,067,purple,social_engagement,onlooker,2058
train-cr,067,purple,social_engagement,solitary,29212
train-cr,067,yellow,task_engagement,noplay,31270
train-cr,067,yellow,social_engagement,solitary,31270
train-cr,069,purple,task_engagement,adultseeking,223
train-cr,069,purple,task_engagement,aimless,201
train-cr,069,purple,task_engagement,goaloriented,29510
train-cr,069,purple,task_engagement,nan,20324
train-cr,069,purple,task_engagement,noplay,8883
train-cr,069,purple,social_engagement,nan,20324
train-cr,069,purple,social_engagement,solitary,38817
train-cr,069,yellow,task_engagement,nan,20324
train-cr,069,yellow,task_engagement,noplay,38817
train-cr,069,yellow,social_engagement,nan,20324
train-cr,069,yellow,social_engagement,solitary,38817
