scenario,split,session_id,color,task,label,count
drop_nan,train-cc,002,yellow,social_engagement,<blank>,1
drop_nan,train-cc,002,yellow,social_engagement,cooperative,6360
drop_nan,train-cc,002,yellow,social_engagement,onlooker,10231
drop_nan,train-cc,002,yellow,social_engagement,parallel,9605
drop_nan,train-cc,002,yellow,social_engagement,solitary,2365
drop_blank_and_nan,train-cc,002,yellow,social_engagement,cooperative,6360
drop_blank_and_nan,train-cc,002,yellow,social_engagement,onlooker,10231
drop_blank_and_nan,train-cc,002,yellow,social_engagement,parallel,9605
drop_blank_and_nan,train-cc,002,yellow,social_engagement,solitary,2365
all,train-cc,003,purple,task_engagement,adultseeking,4300
all,train-cc,003,purple,task_engagement,aimless,5765
all,train-cc,003,purple,task_engagement,goaloriented,25470
all,train-cc,003,purple,task_engagement,noplay,271
drop_blank,train-cc,003,purple,task_engagement,adultseeking,4300
drop_blank,train-cc,003,purple,task_engagement,aimless,5765
drop_blank,train-cc,003,purple,task_engagement,goaloriented,25470
drop_blank,train-cc,003,purple,task_engagement,noplay,271
drop_nan,train-cc,003,purple,task_engagement,adultseeking,4300
drop_nan,train-cc,003,purple,task_engagement,aimless,5765
drop_nan,train-cc,003,purple,task_engagement,goaloriented,25470
drop_nan,train-cc,003,purple,task_engagement,noplay,271
drop_blank_and_nan,train-cc,003,purple,task_engagement,adultseeking,4300
drop_blank_and_nan,train-cc,003,purple,task_engagement,aimless,5765
drop_blank_and_nan,train-cc,003,purple,task_engagement,goaloriented,25470
drop_blank_and_nan,train-cc,003,purple,task_engagement,noplay,271
all,train-cc,003,purple,social_engagement,associative,31318
all,train-cc,003,purple,social_engagement,cooperative,1801
all,train-cc,003,purple,social_engagement,onlooker,2215
all,train-cc,003,purple,social_engagement,parallel,18
all,train-cc,003,purple,social_engagement,solitary,454
drop_blank,train-cc,003,purple,social_engagement,associative,31318
drop_blank,train-cc,003,purple,social_engagement,cooperative,1801
drop_blank,train-cc,003,purple,social_engagement,onlooker,2215
drop_blank,train-cc,003,purple,social_engagement,parallel,18
drop_blank,train-cc,003,purple,social_engagement,solitary,454
drop_nan,train-cc,003,purple,social_engagement,associative,31318
drop_nan,train-cc,003,purple,social_engagement,cooperative,1801
drop_nan,train-cc,003,purple,social_engagement,onlooker,2215
drop_nan,train-cc,003,purple,social_engagement,parallel,18
drop_nan,train-cc,003,purple,social_engagement,solitary,454
drop_blank_and_nan,train-cc,003,purple,social_engagement,associative,31318
drop_blank_and_nan,train-cc,003,purple,social_engagement,cooperative,1801
drop_blank_and_nan,train-cc,003,purple,social_engagement,onlooker,2215
drop_blank_and_nan,train-cc,003,purple,social_engagement,parallel,18
drop_blank_and_nan,train-cc,003,purple,social_engagement,solitary,454
all,train-cc,003,yellow,task_engagement,adultseeking,21
all,train-cc,003,yellow,task_engagement,aimless,21412
all,train-cc,003,yellow,task_engagement,goaloriented,13916
all,train-cc,003,yellow,task_engagement,noplay,457
drop_blank,train-cc,003,yellow,task_engagement,adultseeking,21
drop_blank,train-cc,003,yellow,task_engagement,aimless,21412
drop_blank,train-cc,003,yellow,task_engagement,goaloriented,13916
drop_blank,train-cc,003,yellow,task_engagement,noplay,457
drop_nan,train-cc,003,yellow,task_engagement,adultseeking,21
drop_nan,train-cc,003,yellow,task_engagement,aimless,21412
drop_nan,train-cc,003,yellow,task_engagement,goaloriented,13916
drop_nan,train-cc,003,yellow,task_engagement,noplay,457
drop_blank_and_nan,train-cc,003,yellow,task_engagement,adultseeking,21
drop_blank_and_nan,train-cc,003,yellow,task_engagement,aimless,21412
drop_blank_and_nan,train-cc,003,yellow,task_engagement,goaloriented,13916
drop_blank_and_nan,train-cc,003,yellow,task_engagement,noplay,457
all,train-cc,003,yellow,social_engagement,associative,33533
all,train-cc,003,yellow,social_engagement,cooperative,1287
all,train-cc,003,yellow,social_engagement,onlooker,514
all,train-cc,003,yellow,social_engagement,parallel,18
all,train-cc,003,yellow,social_engagement,solitary,454
drop_blank,train-cc,003,yellow,social_engagement,associative,33533
drop_blank,train-cc,003,yellow,social_engagement,cooperative,1287
drop_blank,train-cc,003,yellow,social_engagement,onlooker,514
drop_blank,train-cc,003,yellow,social_engagement,parallel,18
drop_blank,train-cc,003,yellow,social_engagement,solitary,454
drop_nan,train-cc,003,yellow,social_engagement,associative,33533
drop_nan,train-cc,003,yellow,social_engagement,cooperative,1287
drop_nan,train-cc,003,yellow,social_engagement,onlooker,514
drop_nan,train-cc,003,yellow,social_engagement,parallel,18
drop_nan,train-cc,003,yellow,social_engagement,solitary,454
drop_blank_and_nan,train-cc,003,yellow,social_engagement,associative,33533
drop_blank_and_nan,train-cc,003,yellow,social_engagement,cooperative,1287
drop_blank_and_nan,train-cc,003,yellow,social_engagement,onlooker,514
drop_blank_and_nan,train-cc,003,yellow,social_engagement,parallel,18
drop_blank_and_nan,train-cc,003,yellow,social_engagement,solitary,454
all,train-cc,012,purple,task_engagement,aimless,6769
all,train-cc,012,purple,task_engagement,goaloriented,8699
all,train-cc,012,purple,task_engagement,noplay,17980
drop_blank,train-cc,012,purple,task_engagement,aimless,6769
drop_blank,train-cc,012,purple,task_engagement,goaloriented,8699
drop_blank,train-cc,012,purple,task_engagement,noplay,17980
drop_nan,train-cc,012,purple,task_engagement,aimless,6769
drop_nan,train-cc,012,purple,task_engagement,goaloriented,8699
drop_nan,train-cc,012,purple,task_engagement,noplay,17980
drop_blank_and_nan,train-cc,012,purple,task_engagement,aimless,6769
drop_blank_and_nan,train-cc,012,purple,task_engagement,goaloriented,8699
drop_blank_and_nan,train-cc,012,purple,task_engagement,noplay,17980
all,train-cc,012,purple,social_engagement,cooperative,22879
all,train-cc,012,purple,social_engagement,parallel,9651
all,train-cc,012,purple,social_engagement,solitary,918
drop_blank,train-cc,012,purple,social_engagement,cooperative,22879
drop_blank,train-cc,012,purple,social_engagement,parallel,9651
drop_blank,train-cc,012,purple,social_engagement,solitary,918
drop_nan,train-cc,012,purple,social_engagement,cooperative,22879
drop_nan,train-cc,012,purple,social_engagement,parallel,9651
drop_nan,train-cc,012,purple,social_engagement,solitary,918
drop_blank_and_nan,train-cc,012,purple,social_engagement,cooperative,22879
drop_blank_and_nan,train-cc,012,purple,social_engagement,parallel,9651
drop_blank_and_nan,train-cc,012,purple,social_engagement,solitary,918
all,train-cc,012,yellow,task_engagement,adultseeking,538
all,train-cc,012,yellow,task_engagement,aimless,5266
all,train-cc,012,yellow,task_engagement,goaloriented,18839
all,train-cc,012,yellow,task_engagement,noplay,8805
drop_blank,train-cc,012,yellow,task_engagement,adultseeking,538
drop_blank,train-cc,012,yellow,task_engagement,aimless,5266
drop_blank,train-cc,012,yellow,task_engagement,goaloriented,18839
drop_blank,train-cc,012,yellow,task_engagement,noplay,8805
drop_nan,train-cc,012,yellow,task_engagement,adultseeking,538
drop_nan,train-cc,012,yellow,task_engagement,aimless,5266
drop_nan,train-cc,012,yellow,task_engagement,goaloriented,18839
drop_nan,train-cc,012,yellow,task_engagement,noplay,8805
drop_blank_and_nan,train-cc,012,yellow,task_engagement,adultseeking,538
drop_blank_and_nan,train-cc,012,yellow,task_engagement,aimless,5266
drop_blank_and_nan,train-cc,012,yellow,task_engagement,goaloriented,18839
drop_blank_and_nan,train-cc,012,yellow,task_engagement,noplay,8805
all,train-cc,012,yellow,social_engagement,cooperative,18965
all,train-cc,012,yellow,social_engagement,onlooker,1462
all,train-cc,012,yellow,social_engagement,parallel,3795
all,train-cc,012,yellow,social_engagement,solitary,9226
drop_blank,train-cc,012,yellow,social_engagement,cooperative,18965
drop_blank,train-cc,012,yellow,social_engagement,onlooker,1462
drop_blank,train-cc,012,yellow,social_engagement,parallel,3795
drop_blank,train-cc,012,yellow,social_engagement,solitary,9226
drop_nan,train-cc,012,yellow,social_engagement,cooperative,18965
drop_nan,train-cc,012,yellow,social_engagement,onlooker,1462
drop_nan,train-cc,012,yellow,social_engagement,parallel,3795
drop_nan,train-cc,012,yellow,social_engagement,solitary,9226
drop_blank_and_nan,train-cc,012,yellow,social_engagement,cooperative,18965
drop_blank_and_nan,train-cc,012,yellow,social_engagement,onlooker,1462
drop_blank_and_nan,train-cc,012,yellow,social_engagement,parallel,3795
drop_blank_and_nan,train-cc,012,yellow,social_engagement,solitary,9226
all,train-cc,015,purple,task_engagement,adultseeking,1691
all,train-cc,015,purple,task_engagement,aimless,1161
all,train-cc,015,purple,task_engagement,goaloriented,15440
all,train-cc,015,purple,task_engagement,nan,3753
all,train-cc,015,purple,task_engagement,noplay,116
drop_blank,train-cc,015,purple,task_engagement,adultseeking,1691
drop_blank,train-cc,015,purple,task_engagement,aimless,1161
drop_blank,train-cc,015,purple,task_engagement,goaloriented,15440
drop_blank,train-cc,015,purple,task_engagement,nan,3753
drop_blank,train-cc,015,purple,task_engagement,noplay,116
drop_nan,train-cc,015,purple,task_engagement,adultseeking,1691
drop_nan,train-cc,015,purple,task_engagement,aimless,1161
drop_nan,train-cc,015,purple,task_engagement,goaloriented,15440
drop_nan,train-cc,015,purple,task_engagement,noplay,116
drop_blank_and_nan,train-cc,015,purple,task_engagement,adultseeking,1691
drop_blank_and_nan,train-cc,015,purple,task_engagement,aimless,1161
drop_blank_and_nan,train-cc,015,purple,task_engagement,goaloriented,15440
drop_blank_and_nan,train-cc,015,purple,task_engagement,noplay,116
all,train-cc,015,purple,social_engagement,associative,4456
all,train-cc,015,purple,social_engagement,cooperative,13197
all,train-cc,015,purple,social_engagement,nan,3753
all,train-cc,015,purple,social_engagement,parallel,335
all,train-cc,015,purple,social_engagement,solitary,420
drop_blank,train-cc,015,purple,social_engagement,associative,4456
drop_blank,train-cc,015,purple,social_engagement,cooperative,13197
drop_blank,train-cc,015,purple,social_engagement,nan,3753
drop_blank,train-cc,015,purple,social_engagement,parallel,335
drop_blank,train-cc,015,purple,social_engagement,solitary,420
drop_nan,train-cc,015,purple,social_engagement,associative,4456
drop_nan,train-cc,015,purple,social_engagement,cooperative,13197
drop_nan,train-cc,015,purple,social_engagement,parallel,335
drop_nan,train-cc,015,purple,social_engagement,solitary,420
drop_blank_and_nan,train-cc,015,purple,social_engagement,associative,4456
drop_blank_and_nan,train-cc,015,purple,social_engagement,cooperative,13197
drop_blank_and_nan,train-cc,015,purple,social_engagement,parallel,335
drop_blank_and_nan,train-cc,015,purple,social_engagement,solitary,420
all,train-cc,015,yellow,task_engagement,adultseeking,2043
all,train-cc,015,yellow,task_engagement,aimless,470
all,train-cc,015,yellow,task_engagement,goaloriented,15564
all,train-cc,015,yellow,task_engagement,nan,3753
all,train-cc,015,yellow,task_engagement,noplay,331
drop_blank,train-cc,015,yellow,task_engagement,adultseeking,2043
drop_blank,train-cc,015,yellow,task_engagement,aimless,470
drop_blank,train-cc,015,yellow,task_engagement,goaloriented,15564
drop_blank,train-cc,015,yellow,task_engagement,nan,3753
drop_blank,train-cc,015,yellow,task_engagement,noplay,331
drop_nan,train-cc,015,yellow,task_engagement,adultseeking,2043
drop_nan,train-cc,015,yellow,task_engagement,aimless,470
drop_nan,train-cc,015,yellow,task_engagement,goaloriented,15564
drop_nan,train-cc,015,yellow,task_engagement,noplay,331
drop_blank_and_nan,train-cc,015,yellow,task_engagement,adultseeking,2043
drop_blank_and_nan,train-cc,015,yellow,task_engagement,aimless,470
drop_blank_and_nan,train-cc,015,yellow,task_engagement,goaloriented,15564
drop_blank_and_nan,train-cc,015,yellow,task_engagement,noplay,331
all,train-cc,015,yellow,social_engagement,associative,4456
all,train-cc,015,yellow,social_engagement,cooperative,12925
all,train-cc,015,yellow,social_engagement,nan,3753
all,train-cc,015,yellow,social_engagement,onlooker,272
all,train-cc,015,yellow,social_engagement,parallel,335
all,train-cc,015,yellow,social_engagement,solitary,420
drop_blank,train-cc,015,yellow,social_engagement,associative,4456
drop_blank,train-cc,015,yellow,social_engagement,cooperative,12925
drop_blank,train-cc,015,yellow,social_engagement,nan,3753
drop_blank,train-cc,015,yellow,social_engagement,onlooker,272
drop_blank,train-cc,015,yellow,social_engagement,parallel,335
drop_blank,train-cc,015,yellow,social_engagement,solitary,420
drop_nan,train-cc,015,yellow,social_engagement,associative,4456
drop_nan,train-cc,015,yellow,social_engagement,cooperative,12925
drop_nan,train-cc,015,yellow,social_engagement,onlooker,272
drop_nan,train-cc,015,yellow,social_engagement,parallel,335
drop_nan,train-cc,015,yellow,social_engagement,solitary,420
drop_blank_and_nan,train-cc,015,yellow,social_engagement,associative,4456
drop_blank_and_nan,train-cc,015,yellow,social_engagement,cooperative,12925
drop_blank_and_nan,train-cc,015,yellow,social_engagement,onlooker,272
drop_blank_and_nan,train-cc,015,yellow,social_engagement,parallel,335
drop_blank_and_nan,train-cc,015,yellow,social_engagement,solitary,420
all,train-cc,020,purple,task_engagement,adultseeking,2229
all,train-cc,020,purple,task_engagement,aimless,4419
all,train-cc,020,purple,task_engagement,goaloriented,47368
all,train-cc,020,purple,task_engagement,nan,1
all,train-cc,020,purple,task_engagement,noplay,11830
drop_blank,train-cc,020,purple,task_engagement,adultseeking,2229
drop_blank,train-cc,020,purple,task_engagement,aimless,4419
drop_blank,train-cc,020,purple,task_engagement,goaloriented,47368
drop_blank,train-cc,020,purple,task_engagement,nan,1
drop_blank,train-cc,020,purple,task_engagement,noplay,11830
drop_nan,train-cc,020,purple,task_engagement,adultseeking,2229
drop_nan,train-cc,020,purple,task_engagement,aimless,4419
drop_nan,train-cc,020,purple,task_engagement,goaloriented,47368
drop_nan,train-cc,020,purple,task_engagement,noplay,11830
drop_blank_and_nan,train-cc,020,purple,task_engagement,adultseeking,2229
drop_blank_and_nan,train-cc,020,purple,task_engagement,aimless,4419
drop_blank_and_nan,train-cc,020,purple,task_engagement,goaloriented,47368
drop_blank_and_nan,train-cc,020,purple,task_engagement,noplay,11830
all,train-cc,020,purple,social_engagement,associative,12800
all,train-cc,020,purple,social_engagement,cooperative,13500
all,train-cc,020,purple,social_engagement,nan,1
all,train-cc,020,purple,social_engagement,onlooker,10732
all,train-cc,020,purple,social_engagement,parallel,26477
all,train-cc,020,purple,social_engagement,solitary,2337
drop_blank,train-cc,020,purple,social_engagement,associative,12800
drop_blank,train-cc,020,purple,social_engagement,cooperative,13500
drop_blank,train-cc,020,purple,social_engagement,nan,1
drop_blank,train-cc,020,purple,social_engagement,onlooker,10732
drop_blank,train-cc,020,purple,social_engagement,parallel,26477
drop_blank,train-cc,020,purple,social_engagement,solitary,2337
drop_nan,train-cc,020,purple,social_engagement,associative,12800
drop_nan,train-cc,020,purple,social_engagement,cooperative,13500
drop_nan,train-cc,020,purple,social_engagement,onlooker,10732
drop_nan,train-cc,020,purple,social_engagement,parallel,26477
drop_nan,train-cc,020,purple,social_engagement,solitary,2337
drop_blank_and_nan,train-cc,020,purple,social_engagement,associative,12800
drop_blank_and_nan,train-cc,020,purple,social_engagement,cooperative,13500
drop_blank_and_nan,train-cc,020,purple,social_engagement,onlooker,10732
drop_blank_and_nan,train-cc,020,purple,social_engagement,parallel,26477
drop_blank_and_nan,train-cc,020,purple,social_engagement,solitary,2337
all,train-cc,020,yellow,task_engagement,adultseeking,377
all,train-cc,020,yellow,task_engagement,aimless,10808
all,train-cc,020,yellow,task_engagement,goaloriented,50020
all,train-cc,020,yellow,task_engagement,nan,1
all,train-cc,020,yellow,task_engagement,noplay,4641
drop_blank,train-cc,020,yellow,task_engagement,adultseeking,377
drop_blank,train-cc,020,yellow,task_engagement,aimless,10808
drop_blank,train-cc,020,yellow,task_engagement,goaloriented,50020
drop_blank,train-cc,020,yellow,task_engagement,nan,1
drop_blank,train-cc,020,yellow,task_engagement,noplay,4641
drop_nan,train-cc,020,yellow,task_engagement,adultseeking,377
drop_nan,train-cc,020,yellow,task_engagement,aimless,10808
drop_nan,train-cc,020,yellow,task_engagement,goaloriented,50020
drop_nan,train-cc,020,yellow,task_engagement,noplay,4641
drop_blank_and_nan,train-cc,020,yellow,task_engagement,adultseeking,377
drop_blank_and_nan,train-cc,020,yellow,task_engagement,aimless,10808
drop_blank_and_nan,train-cc,020,yellow,task_engagement,goaloriented,50020
drop_blank_and_nan,train-cc,020,yellow,task_engagement,noplay,4641
all,train-cc,020,yellow,social_engagement,associative,12707
all,train-cc,020,yellow,social_engagement,cooperative,9043
all,train-cc,020,yellow,social_engagement,nan,1
all,train-cc,020,yellow,social_engagement,onlooker,12440
all,train-cc,020,yellow,social_engagement,parallel,21913
all,train-cc,020,yellow,social_engagement,solitary,9743
drop_blank,train-cc,020,yellow,social_engagement,associative,12707
drop_blank,train-cc,020,yellow,social_engagement,cooperative,9043
drop_blank,train-cc,020,yellow,social_engagement,nan,1
drop_blank,train-cc,020,yellow,social_engagement,onlooker,12440
drop_blank,train-cc,020,yellow,social_engagement,parallel,21913
drop_blank,train-cc,020,yellow,social_engagement,solitary,9743
drop_nan,train-cc,020,yellow,social_engagement,associative,12707
drop_nan,train-cc,020,yellow,social_engagement,cooperative,9043
drop_nan,train-cc,020,yellow,social_engagement,onlooker,12440
drop_nan,train-cc,020,yellow,social_engagement,parallel,21913
drop_nan,train-cc,020,yellow,social_engagement,solitary,9743
drop_blank_and_nan,train-cc,020,yellow,social_engagement,associative,12707
drop_blank_and_nan,train-cc,020,yellow,social_engagement,cooperative,9043
drop_blank_and_nan,train-cc,020,yellow,social_engagement,onlooker,12440
drop_blank_and_nan,train-cc,020,yellow,social_engagement,parallel,21913
drop_blank_and_nan,train-cc,020,yellow,social_engagement,solitary,9743
all,train-cc,022,purple,task_engagement,<blank>,1
all,train-cc,022,purple,task_engagement,adultseeking,242
all,train-cc,022,purple,task_engagement,goaloriented,14572
all,train-cc,022,purple,task_engagement,noplay,1666
drop_blank,train-cc,022,purple,task_engagement,adultseeking,242
drop_blank,train-cc,022,purple,task_engagement,goaloriented,14572
drop_blank,train-cc,022,purple,task_engagement,noplay,1666
drop_nan,train-cc,022,purple,task_engagement,<blank>,1
drop_nan,train-cc,022,purple,task_engagement,adultseeking,242
drop_nan,train-cc,022,purple,task_engagement,goaloriented,14572
drop_nan,train-cc,022,purple,task_engagement,noplay,1666
drop_blank_and_nan,train-cc,022,purple,task_engagement,adultseeking,242
drop_blank_and_nan,train-cc,022,purple,task_engagement,goaloriented,14572
drop_blank_and_nan,train-cc,022,purple,task_engagement,noplay,1666
all,train-cc,022,purple,social_engagement,<blank>,1
all,train-cc,022,purple,social_engagement,associative,2743
all,train-cc,022,purple,social_engagement,cooperative,12170
all,train-cc,022,purple,social_engagement,solitary,1567
drop_blank,train-cc,022,purple,social_engagement,associative,2743
drop_blank,train-cc,022,purple,social_engagement,cooperative,12170
drop_blank,train-cc,022,purple,social_engagement,solitary,1567
drop_nan,train-cc,022,purple,social_engagement,<blank>,1
drop_nan,train-cc,022,purple,social_engagement,associative,2743
drop_nan,train-cc,022,purple,social_engagement,cooperative,12170
drop_nan,train-cc,022,purple,social_engagement,solitary,1567
drop_blank_and_nan,train-cc,022,purple,social_engagement,associative,2743
drop_blank_and_nan,train-cc,022,purple,social_engagement,cooperative,12170
drop_blank_and_nan,train-cc,022,purple,social_engagement,solitary,1567
all,train-cc,022,yellow,task_engagement,<blank>,1
all,train-cc,022,yellow,task_engagement,goaloriented,13924
all,train-cc,022,yellow,task_engagement,noplay,2556
drop_blank,train-cc,022,yellow,task_engagement,goaloriented,13924
drop_blank,train-cc,022,yellow,task_engagement,noplay,2556
drop_nan,train-cc,022,yellow,task_engagement,<blank>,1
drop_nan,train-cc,022,yellow,task_engagement,goaloriented,13924
drop_nan,train-cc,022,yellow,task_engagement,noplay,2556
drop_blank_and_nan,train-cc,022,yellow,task_engagement,goaloriented,13924
drop_blank_and_nan,train-cc,022,yellow,task_engagement,noplay,2556
all,train-cc,022,yellow,social_engagement,<blank>,1
all,train-cc,022,yellow,social_engagement,associative,2224
all,train-cc,022,yellow,social_engagement,cooperative,10312
all,train-cc,022,yellow,social_engagement,onlooker,2377
all,train-cc,022,yellow,social_engagement,solitary,1567
drop_blank,train-cc,022,yellow,social_engagement,associative,2224
drop_blank,train-cc,022,yellow,social_engagement,cooperative,10312
drop_blank,train-cc,022,yellow,social_engagement,onlooker,2377
drop_blank,train-cc,022,yellow,social_engagement,solitary,1567
drop_nan,train-cc,022,yellow,social_engagement,<blank>,1
drop_nan,train-cc,022,yellow,social_engagement,associative,2224
drop_nan,train-cc,022,yellow,social_engagement,cooperative,10312
drop_nan,train-cc,022,yellow,social_engagement,onlooker,2377
drop_nan,train-cc,022,yellow,social_engagement,solitary,1567
drop_blank_and_nan,train-cc,022,yellow,social_engagement,associative,2224
drop_blank_and_nan,train-cc,022,yellow,social_engagement,cooperative,10312
drop_blank_and_nan,train-cc,022,yellow,social_engagement,onlooker,2377
drop_blank_and_nan,train-cc,022,yellow,social_engagement,solitary,1567
all,train-cc,024,purple,task_engagement,<blank>,19913
all,train-cc,024,purple,task_engagement,adultseeking,801
all,train-cc,024,purple,task_engagement,goaloriented,3679
all,train-cc,024,purple,task_engagement,noplay,182
drop_blank,train-cc,024,purple,task_engagement,adultseeking,801
drop_blank,train-cc,024,purple,task_engagement,goaloriented,3679
drop_blank,train-cc,024,purple,task_engagement,noplay,182
drop_nan,train-cc,024,purple,task_engagement,<blank>,19913
drop_nan,train-cc,024,purple,task_engagement,adultseeking,801
drop_nan,train-cc,024,purple,task_engagement,goaloriented,3679
drop_nan,train-cc,024,purple,task_engagement,noplay,182
drop_blank_and_nan,train-cc,024,purple,task_engagement,adultseeking,801
drop_blank_and_nan,train-cc,024,purple,task_engagement,goaloriented,3679
drop_blank_and_nan,train-cc,024,purple,task_engagement,noplay,182
all,train-cc,024,purple,social_engagement,<blank>,22333
all,train-cc,024,purple,social_engagement,cooperative,1248
all,train-cc,024,purple,social_engagement,parallel,355
all,train-cc,024,purple,social_engagement,solitary,639
drop_blank,train-cc,024,purple,social_engagement,cooperative,1248
drop_blank,train-cc,024,purple,social_engagement,parallel,355
drop_blank,train-cc,024,purple,social_engagement,solitary,639
drop_nan,train-cc,024,purple,social_engagement,<blank>,22333
drop_nan,train-cc,024,purple,social_engagement,cooperative,1248
drop_nan,train-cc,024,purple,social_engagement,parallel,355
drop_nan,train-cc,024,purple,social_engagement,solitary,639
drop_blank_and_nan,train-cc,024,purple,social_engagement,cooperative,1248
drop_blank_and_nan,train-cc,024,purple,social_engagement,parallel,355
drop_blank_and_nan,train-cc,024,purple,social_engagement,solitary,639
all,train-cc,024,yellow,task_engagement,<blank>,19740
all,train-cc,024,yellow,task_engagement,goaloriented,4432
all,train-cc,024,yellow,task_engagement,noplay,403
drop_blank,train-cc,024,yellow,task_engagement,goaloriented,4432
drop_blank,train-cc,024,yellow,task_engagement,noplay,403
drop_nan,train-cc,024,yellow,task_engagement,<blank>,19740
drop_nan,train-cc,024,yellow,task_engagement,goaloriented,4432
drop_nan,train-cc,024,yellow,task_engagement,noplay,403
drop_blank_and_nan,train-cc,024,yellow,task_engagement,goaloriented,4432
drop_blank_and_nan,train-cc,024,yellow,task_engagement,noplay,403
all,train-cc,024,yellow,social_engagement,<blank>,22457
all,train-cc,024,yellow,social_engagement,cooperative,1590
all,train-cc,024,yellow,social_engagement,parallel,355
all,train-cc,024,yellow,social_engagement,solitary,173
drop_blank,train-cc,024,yellow,social_engagement,cooperative,1590
drop_blank,train-cc,024,yellow,social_engagement,parallel,355
drop_blank,train-cc,024,yellow,social_engagement,solitary,173
drop_nan,train-cc,024,yellow,social_engagement,<blank>,22457
drop_nan,train-cc,024,yellow,social_engagement,cooperative,1590
drop_nan,train-cc,024,yellow,social_engagement,parallel,355
drop_nan,train-cc,024,yellow,social_engagement,solitary,173
drop_blank_and_nan,train-cc,024,yellow,social_engagement,cooperative,1590
drop_blank_and_nan,train-cc,024,yellow,social_engagement,parallel,355
drop_blank_and_nan,train-cc,024,yellow,social_engagement,solitary,173
all,train-cc,028,purple,task_engagement,<blank>,1
all,train-cc,028,purple,task_engagement,adultseeking,2960
all,train-cc,028,purple,task_engagement,aimless,6498
all,train-cc,028,purple,task_engagement,goaloriented,39318
all,train-cc,028,purple,task_engagement,nan,590
all,train-cc,028,purple,task_engagement,noplay,4026
drop_blank,train-cc,028,purple,task_engagement,adultseeking,2960
drop_blank,train-cc,028,purple,task_engagement,aimless,6498
