split,session_id,color,task,annotator_file,rows_nonblank,distinct_labels
train-cc,054,purple,task_engagement,purple.task_engagement.1.annotation.csv,71835,3
train-cc,054,purple,social_engagement,purple.social_engagement.1.annotation.csv,71835,4
train-cc,054,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,71835,3
train-cc,054,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,71835,4
train-cc,058,purple,task_engagement,purple.task_engagement.1.annotation.csv,55754,5
train-cc,058,purple,social_engagement,purple.social_engagement.1.annotation.csv,55754,4
train-cc,058,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,55754,4
train-cc,058,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,55754,4
train-cc,060,purple,task_engagement,purple.task_engagement.1.annotation.csv,13351,3
train-cc,060,purple,social_engagement,purple.social_engagement.1.annotation.csv,13351,4
train-cc,060,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,13351,4
train-cc,060,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,13351,4
train-cc,061,purple,task_engagement,purple.task_engagement.1.annotation.csv,52027,3
train-cc,061,purple,social_engagement,purple.social_engagement.1.annotation.csv,52027,3
train-cc,061,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,52027,4
train-cc,061,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,52027,3
train-cr,004,purple,task_engagement,purple.task_engagement.1.annotation.csv,28531,4
train-cr,004,purple,social_engagement,purple.social_engagement.1.annotation.csv,28531,3
train-cr,004,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,28531,2
train-cr,004,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,28531,3
train-cr,023,purple,task_engagement,purple.task_engagement.1.annotation.csv,16308,3
train-cr,023,purple,social_engagement,purple.social_engagement.1.annotation.csv,16308,3
train-cr,023,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,16308,1
train-cr,023,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,16308,2
train-cr,032,purple,task_engagement,purple.task_engagement.1.annotation.csv,25491,4
train-cr,032,purple,social_engagement,purple.social_engagement.1.annotation.csv,25491,4
train-cr,032,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,25491,1
train-cr,032,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,25491,4
train-cr,045,purple,task_engagement,purple.task_engagement.1.annotation.csv,35007,4
train-cr,045,purple,social_engagement,purple.social_engagement.1.annotation.csv,35007,4
train-cr,045,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,35007,1
train-cr,045,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,35007,3
train-cr,047,purple,task_engagement,purple.task_engagement.1.annotation.csv,31599,3
train-cr,047,purple,social_engagement,purple.social_engagement.1.annotation.csv,31599,4
train-cr,047,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,31599,1
train-cr,047,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,31599,3
train-cr,048,purple,task_engagement,purple.task_engagement.1.annotation.csv,16633,4
train-cr,048,purple,social_engagement,purple.social_engagement.1.annotation.csv,16633,1
train-cr,048,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,16633,1
train-cr,048,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,16633,1
train-cr,050,purple,task_engagement,purple.task_engagement.1.annotation.csv,28743,3
train-cr,050,purple,social_engagement,purple.social_engagement.1.annotation.csv,28743,1
train-cr,050,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,28743,1
train-cr,050,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,28743,1
train-cr,056,purple,task_engagement,purple.task_engagement.1.annotation.csv,11078,3
train-cr,056,purple,social_engagement,purple.social_engagement.1.annotation.csv,11078,2
train-cr,056,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,11078,2
train-cr,056,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,11078,3
train-cr,057,purple,task_engagement,purple.task_engagement.1.annotation.csv,51249,4
train-cr,057,purple,social_engagement,purple.social_engagement.1.annotation.csv,51249,2
train-cr,057,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,51249,2
train-cr,057,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,51249,2
train-cr,063,purple,task_engagement,purple.task_engagement.1.annotation.csv,71846,5
train-cr,063,purple,social_engagement,purple.social_engagement.1.annotation.csv,71846,4
train-cr,063,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,71846,2
train-cr,063,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,71846,3
train-cr,067,purple,task_engagement,purple.task_engagement.1.annotation.csv,31270,3
train-cr,067,purple,social_engagement,purple.social_engagement.1.annotation.csv,31270,2
train-cr,067,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,31270,1
train-cr,067,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,31270,1
train-cr,069,purple,task_engagement,purple.task_engagement.1.annotation.csv,59141,5
train-cr,069,purple,social_engagement,purple.social_engagement.1.annotation.csv,59141,2
train-cr,069,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,59141,2
train-cr,069,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,59141,2
