scenario,split,color,task,label,count,weight
all,train-cr,yellow,social_engagement,solitary,180780,0.37513552
all,train-cr,yellow,task_engagement,<blank>,6,13563.40000000
all,train-cr,yellow,task_engagement,aimless,26507,3.07014751
all,train-cr,yellow,task_engagement,goaloriented,1206,67.47960199
all,train-cr,yellow,task_engagement,nan,22753,3.57668879
all,train-cr,yellow,task_engagement,noplay,356430,0.22832085
drop_blank,train-cc,purple,social_engagement,associative,107291,1.26691428
drop_blank,train-cc,purple,social_engagement,cooperative,409781,0.33171011
drop_blank,train-cc,purple,social_engagement,nan,24698,5.50362378
drop_blank,train-cc,purple,social_engagement,onlooker,33508,4.05659842
drop_blank,train-cc,purple,social_engagement,parallel,185620,0.73229447
drop_blank,train-cc,purple,social_engagement,solitary,54673,2.48620891
drop_blank,train-cc,purple,task_engagement,adultseeking,17238,9.56838380
drop_blank,train-cc,purple,task_engagement,aimless,132078,1.24880601
drop_blank,train-cc,purple,task_engagement,goaloriented,517055,0.31899856
drop_blank,train-cc,purple,task_engagement,nan,23196,7.11070012
drop_blank,train-cc,purple,task_engagement,noplay,135132,1.22058284
drop_blank,train-cc,yellow,social_engagement,associative,114369,1.18839021
drop_blank,train-cc,yellow,social_engagement,cooperative,389530,0.34892049
drop_blank,train-cc,yellow,social_engagement,nan,23229,5.85109131
drop_blank,train-cc,yellow,social_engagement,onlooker,62068,2.18977573
drop_blank,train-cc,yellow,social_engagement,parallel,166459,0.81650737
drop_blank,train-cc,yellow,social_engagement,solitary,59835,2.27149662
drop_blank,train-cc,yellow,task_engagement,adultseeking,8305,19.86559904
drop_blank,train-cc,yellow,task_engagement,aimless,147955,1.11509445
drop_blank,train-cc,yellow,task_engagement,goaloriented,506363,0.32582120
drop_blank,train-cc,yellow,task_engagement,nan,22606,7.29823056
drop_blank,train-cc,yellow,task_engagement,noplay,139690,1.18107094
drop_blank,train-cr,purple,social_engagement,associative,712,114.29662921
drop_blank,train-cr,purple,social_engagement,nan,22753,3.57663605
drop_blank,train-cr,purple,social_engagement,onlooker,10952,7.43053324
drop_blank,train-cr,purple,social_engagement,parallel,102543,0.79361049
drop_blank,train-cr,purple,social_engagement,solitary,269936,0.30147591
drop_blank,train-cr,purple,task_engagement,adultseeking,13120,6.20268293
drop_blank,train-cr,purple,task_engagement,aimless,18890,4.30805717
drop_blank,train-cr,purple,task_engagement,goaloriented,295440,0.27545085
drop_blank,train-cr,purple,task_engagement,nan,22753,3.57663605
drop_blank,train-cr,purple,task_engagement,noplay,56693,1.43543647
drop_blank,train-cr,yellow,social_engagement,associative,13443,6.05364874
drop_blank,train-cr,yellow,social_engagement,nan,22753,3.57663605
drop_blank,train-cr,yellow,social_engagement,onlooker,18111,4.49335763
drop_blank,train-cr,yellow,social_engagement,parallel,171809,0.47366087
drop_blank,train-cr,yellow,social_engagement,solitary,180780,0.45015599
drop_blank,train-cr,yellow,task_engagement,aimless,26507,3.83762780
drop_blank,train-cr,yellow,task_engagement,goaloriented,1206,84.34825871
drop_blank,train-cr,yellow,task_engagement,nan,22753,4.47079506
drop_blank,train-cr,yellow,task_engagement,noplay,356430,0.28539685
drop_blank_and_nan,train-cc,purple,social_engagement,associative,107291,1.47425786
drop_blank_and_nan,train-cc,purple,social_engagement,cooperative,409781,0.38599789
drop_blank_and_nan,train-cc,purple,social_engagement,onlooker,33508,4.72050257
drop_blank_and_nan,train-cc,purple,social_engagement,parallel,185620,0.85214201
drop_blank_and_nan,train-cc,purple,social_engagement,solitary,54673,2.89310263
drop_blank_and_nan,train-cc,purple,task_engagement,adultseeking,17238,11.62407182
drop_blank_and_nan,train-cc,purple,task_engagement,aimless,132078,1.51710164
drop_blank_and_nan,train-cc,purple,task_engagement,goaloriented,517055,0.38753276
drop_blank_and_nan,train-cc,purple,task_engagement,noplay,135132,1.48281495
drop_blank_and_nan,train-cc,yellow,social_engagement,associative,114369,1.38544711
drop_blank_and_nan,train-cc,yellow,social_engagement,cooperative,389530,0.40677791
drop_blank_and_nan,train-cc,yellow,social_engagement,onlooker,62068,2.55288071
drop_blank_and_nan,train-cc,yellow,social_engagement,parallel,166459,0.95189927
drop_blank_and_nan,train-cc,yellow,social_engagement,solitary,59835,2.64815242
drop_blank_and_nan,train-cc,yellow,task_engagement,adultseeking,8305,24.15150512
drop_blank_and_nan,train-cc,yellow,task_engagement,aimless,147955,1.35567064
drop_blank_and_nan,train-cc,yellow,task_engagement,goaloriented,506363,0.39611553
drop_blank_and_nan,train-cc,yellow,task_engagement,noplay,139690,1.43588124
drop_blank_and_nan,train-cr,purple,social_engagement,associative,712,134.88167135
drop_blank_and_nan,train-cr,purple,social_engagement,onlooker,10952,8.76878652
drop_blank_and_nan,train-cr,purple,social_engagement,parallel,102543,0.93654126
drop_blank_and_nan,train-cr,purple,social_engagement,solitary,269936,0.35577229
drop_blank_and_nan,train-cr,purple,task_engagement,adultseeking,13120,7.31979802
drop_blank_and_nan,train-cr,purple,task_engagement,aimless,18890,5.08394653
drop_blank_and_nan,train-cr,purple,task_engagement,goaloriented,295440,0.32506008
drop_blank_and_nan,train-cr,purple,task_engagement,noplay,56693,1.69396134
drop_blank_and_nan,train-cr,yellow,social_engagement,associative,13443,7.14392249
drop_blank_and_nan,train-cr,yellow,social_engagement,onlooker,18111,5.30261995
drop_blank_and_nan,train-cr,yellow,social_engagement,parallel,171809,0.55896810
drop_blank_and_nan,train-cr,yellow,social_engagement,solitary,180780,0.53122995
drop_blank_and_nan,train-cr,yellow,task_engagement,aimless,26507,4.83071138
drop_blank_and_nan,train-cr,yellow,task_engagement,goaloriented,1206,106.17551133
drop_blank_and_nan,train-cr,yellow,task_engagement,noplay,356430,0.35925053
drop_nan,train-cc,purple,social_engagement,<blank>,72334,1.98893789
drop_nan,train-cc,purple,social_engagement,associative,107291,1.34091241
drop_nan,train-cc,purple,social_engagement,cooperative,409781,0.35108469
drop_nan,train-cc,purple,social_engagement,onlooker,33508,4.29353687
drop_nan,train-cc,purple,social_engagement,parallel,185620,0.77506644
drop_nan,train-cc,purple,social_engagement,solitary,54673,2.63142380
drop_nan,train-cc,purple,task_engagement,<blank>,63206,2.73616112
drop_nan,train-cc,purple,task_engagement,adultseeking,17238,10.03259079
drop_nan,train-cc,purple,task_engagement,aimless,132078,1.30939142
drop_nan,train-cc,purple,task_engagement,goaloriented,517055,0.33447467
drop_nan,train-cc,purple,task_engagement,noplay,135132,1.27979901
drop_nan,train-cc,yellow,social_engagement,<blank>,72415,1.99009413
drop_nan,train-cc,yellow,social_engagement,associative,114369,1.26006756
drop_nan,train-cc,yellow,social_engagement,cooperative,389530,0.36996551
drop_nan,train-cc,yellow,social_engagement,onlooker,62068,2.32185130
drop_nan,train-cc,yellow,social_engagement,parallel,166459,0.86575473
drop_nan,train-cc,yellow,social_engagement,solitary,59835,2.40850116
drop_nan,train-cc,yellow,task_engagement,<blank>,62986,2.74759153
drop_nan,train-cc,yellow,task_engagement,adultseeking,8305,20.83802529
drop_nan,train-cc,yellow,task_engagement,aimless,147955,1.16967862
drop_nan,train-cc,yellow,task_engagement,goaloriented,506363,0.34177023
drop_nan,train-cc,yellow,task_engagement,noplay,139690,1.23888467
drop_nan,train-cr,purple,social_engagement,<blank>,6,12804.96666667
drop_nan,train-cr,purple,social_engagement,associative,712,107.90702247
drop_nan,train-cr,purple,social_engagement,onlooker,10952,7.01513879
drop_nan,train-cr,purple,social_engagement,parallel,102543,0.74924471
drop_nan,train-cr,purple,social_engagement,solitary,269936,0.28462228
drop_nan,train-cr,purple,task_engagement,<blank>,6,12804.96666667
drop_nan,train-cr,purple,task_engagement,adultseeking,13120,5.85592988
drop_nan,train-cr,purple,task_engagement,aimless,18890,4.06722075
drop_nan,train-cr,purple,task_engagement,goaloriented,295440,0.26005213
drop_nan,train-cr,purple,task_engagement,noplay,56693,1.35519024
drop_nan,train-cr,yellow,social_engagement,<blank>,6,12804.96666667
drop_nan,train-cr,yellow,social_engagement,associative,13443,5.71522726
drop_nan,train-cr,yellow,social_engagement,onlooker,18111,4.24216222
drop_nan,train-cr,yellow,social_engagement,parallel,171809,0.44718146
drop_nan,train-cr,yellow,social_engagement,solitary,180780,0.42499060
drop_nan,train-cr,yellow,task_engagement,<blank>,6,16006.20833333
drop_nan,train-cr,yellow,task_engagement,aimless,26507,3.62309013
drop_nan,train-cr,yellow,task_engagement,goaloriented,1206,79.63287728
drop_nan,train-cr,yellow,task_engagement,noplay,356430,0.26944211
