scenario,split,color,task,label,count,proportion
drop_blank_and_nan,train-cr,yellow,social_engagement,parallel,171809,0.44725272
drop_blank_and_nan,train-cr,yellow,social_engagement,solitary,180780,0.47060600
drop_blank_and_nan,train-cr,yellow,task_engagement,aimless,26507,0.06900295
drop_blank_and_nan,train-cr,yellow,task_engagement,goaloriented,1206,0.00313946
drop_blank_and_nan,train-cr,yellow,task_engagement,noplay,356430,0.92785759
drop_nan,train-cc,purple,social_engagement,<blank>,72334,0.08379682
drop_nan,train-cc,purple,social_engagement,associative,107291,0.12429348
drop_nan,train-cc,purple,social_engagement,cooperative,409781,0.47471927
drop_nan,train-cc,purple,social_engagement,onlooker,33508,0.03881804
drop_nan,train-cc,purple,social_engagement,parallel,185620,0.21503533
drop_nan,train-cc,purple,social_engagement,solitary,54673,0.06333707
drop_nan,train-cc,purple,task_engagement,<blank>,63206,0.07309511
drop_nan,train-cc,purple,task_engagement,adultseeking,17238,0.01993503
drop_nan,train-cc,purple,task_engagement,aimless,132078,0.15274271
drop_nan,train-cc,purple,task_engagement,goaloriented,517055,0.59795261
drop_nan,train-cc,purple,task_engagement,noplay,135132,0.15627454
drop_nan,train-cc,yellow,social_engagement,<blank>,72415,0.08374813
drop_nan,train-cc,yellow,social_engagement,associative,114369,0.13226804
drop_nan,train-cc,yellow,social_engagement,cooperative,389530,0.45049244
drop_nan,train-cc,yellow,social_engagement,onlooker,62068,0.07178180
drop_nan,train-cc,yellow,social_engagement,parallel,166459,0.19251026
drop_nan,train-cc,yellow,social_engagement,solitary,59835,0.06919933
drop_nan,train-cc,yellow,task_engagement,<blank>,62986,0.07279102
drop_nan,train-cc,yellow,task_engagement,adultseeking,8305,0.00959784
drop_nan,train-cc,yellow,task_engagement,aimless,147955,0.17098714
drop_nan,train-cc,yellow,task_engagement,goaloriented,506363,0.58518847
drop_nan,train-cc,yellow,task_engagement,noplay,139690,0.16143553
drop_nan,train-cr,purple,social_engagement,<blank>,6,0.00001562
drop_nan,train-cr,purple,social_engagement,associative,712,0.00185345
drop_nan,train-cr,purple,social_engagement,onlooker,10952,0.02850977
drop_nan,train-cr,purple,social_engagement,parallel,102543,0.26693549
drop_nan,train-cr,purple,social_engagement,solitary,269936,0.70268568
drop_nan,train-cr,purple,task_engagement,<blank>,6,0.00001562
drop_nan,train-cr,purple,task_engagement,adultseeking,13120,0.03415341
drop_nan,train-cr,purple,task_engagement,aimless,18890,0.04917363
drop_nan,train-cr,purple,task_engagement,goaloriented,295440,0.76907658
drop_nan,train-cr,purple,task_engagement,noplay,56693,0.14758076
drop_nan,train-cr,yellow,social_engagement,<blank>,6,0.00001562
drop_nan,train-cr,yellow,social_engagement,associative,13443,0.03499423
drop_nan,train-cr,yellow,social_engagement,onlooker,18111,0.04714577
drop_nan,train-cr,yellow,social_engagement,parallel,171809,0.44724573
drop_nan,train-cr,yellow,social_engagement,solitary,180780,0.47059865
drop_nan,train-cr,yellow,task_engagement,<blank>,6,0.00001562
drop_nan,train-cr,yellow,task_engagement,aimless,26507,0.06900187
drop_nan,train-cr,yellow,task_engagement,goaloriented,1206,0.00313941
drop_nan,train-cr,yellow,task_engagement,noplay,356430,0.92784310
